Aquarius,Sadalsuud,Sadalmelik
Aquarius,Sadalmelik,Ancha
Aquarius,Sadalmelik,Sadachbia
Aquarius,Ancha,Iota Aquarius
Aquarius,Sadachbia,ZEta Aquarius A
Aquarius,ZEta Aquarius A,Eta Aquarius
Aquarius,Eta Aquarius,Phi Aquarius
Aquarius,ZEta Aquarius A,Pi Aquarius
Aquarius,Phi Aquarius,Lambda Aquarius
Aquarius,Lambda Aquarius,Tau Aquarius
Aquarius,Tau Aquarius,Skat
Pisces,Tau Pisces,UPsilon Pisces
Pisces,UPsilon Pisces,Phi Pisces
Pisces,Phi Pisces,Alpherg
Pisces,Alpherg,Torcular
Pisces,Torcular,Alpha Pisces A
Pisces,Alpha Pisces A,Nu Pisces
Pisces,Nu Pisces,EPsilon Pisces
Pisces,EPsilon Pisces,HD 224617
Pisces,HD 224617,Iota Pisces
Pisces,Iota Pisces,Theta Pisces
Pisces,Iota Pisces,Lambda Pisces
Pisces,Theta Pisces,Gamma Pisces
Pisces,Lambda Pisces,Kappa Pisces
Pisces,Gamma Pisces,Kappa Pisces
Bukdu,Alkaid,Mizar A
Bukdu,Mizar A,Alioth
Bukdu,Alioth,Megrez
Bukdu,Megrez,Dubhe
Bukdu,Megrez,Phecda
Bukdu,Dubhe,Merak
Bukdu,Phecda,Merak
wuisu,Lilii Borea,Bharani
wuisu,Lilii Borea,35 Aries
wuisu,Bharani,35 Aries
