* gam Gru,21 53 55.7163,-37 21 53.539,110.445,-17.161,3.01,17.808,B,Aldhanab,Gamma Grus,HD 207971,SAO 213374,HIP 108085,HR  8353,Gaia DR2 6586825380598277248,Gaia DR3 6586825380598949632
* zet Dra,17 08 47.1877,+65 42 52.723,-16.55,32.757,3.17,7.8274,B,Aldhibah,ZEta Draco,HD 155763,SAO  17365,HIP 83895,HR  6396,Gaia DR2 1632499034644070528,Gaia DR3 1632499034644723968
* eps Del,20 33 12.7728,+11 18 11.758,10.915,-19.606,4.03,8.9149,B,Aldulfin,EPsilon Delphinus,HD 195810,SAO 106230,HIP 101421,HR  7852,Gaia DR2 1755320049742345472,Gaia DR3 1755320049747788160
* bet Cep,21 28 39.5968,+70 33 38.574,12.54,8.39,3.23,4.76,B,Alfirk,BEta Cep,HD 205021,SAO  10057,HIP 106032,HR  8238,Gaia DR2 2272185759992826624,Gaia DR3 2272185759996420992
* alf02 Cap,20 18 03.2555,-12 32 41.467,61.212,2.412,3.58,29.914,G,Algedi,Alpha Capricornus,HD 192947,SAO 163427,HIP 100064,HR  7754,Gaia DR2 6880093650312745984,Gaia DR3 6880093650314169984
* gam Peg,00 13 14.1523,+15 11 00.954,0.492,-10.73,2.84,6.9474,B,Algenib,Gamma Pegasus,HD    886,SAO  91781,HIP 1067,HR    39,Gaia DR2 2769202948897808640,Gaia DR3 2769202742740232960
* gam Leo,10 19 58.3505,+19 50 29.346,304.3,-154.28,2.37,25.07,K,Algieba,Gamma Leo,,,HIP 50583,,,
* bet Per,03 08 10.1324,+40 57 20.328,2.99,-1.66,2.12,36.27,B,Algol,BEta Perseus,HD  19356,SAO  38592,HIP 14576,HR   936,Gaia DR2 239863001382455424,
* del Crv,12 29 51.8551,-16 30 55.552,-209.276,-139.184,2.94,38.06,A,Algorab,Delphinusta Corvus,HD 108767,SAO 157323,HIP 60965,HR  4757,Gaia DR2 3520586071216143488,Gaia DR3 3520586071217872896
* gam Gem,06 37 42.7105,+16 23 57.409,13.81,-54.96,1.92,29.84,A,Alhena,Gamma Gemini,HD  47105,SAO  95912,HIP 31681,HR  2421,,
